shift_id,driver_id,shift_date,shift_start_time,shift_end_time,online_hours
59,78,2025-11-24,2025-11-24 09:33:51,2025-11-24 13:33:51,4
60,23,2025-07-30,2025-07-30 15:23:51,2025-07-30 19:23:51,4
61,25,2026-04-21,2026-04-21 18:34:51,2026-04-22 00:34:51,6
62,961,2026-05-10,2026-05-10 20:51:51,2026-05-11 04:51:51,8
63,669,2026-01-03,2026-01-03 23:11:51,2026-01-04 09:11:51,10
64,434,2025-11-27,2025-11-27 16:09:51,2025-11-28 04:09:51,12
65,638,2026-06-24,2026-06-24 03:30:51,2026-06-24 11:30:51,8
66,250,2025-10-10,2025-10-10 16:21:51,2025-10-11 04:21:51,12
67,915,2026-02-09,2026-02-09 14:26:51,2026-02-10 00:26:51,10
68,160,2026-02-15,2026-02-15 21:12:51,2026-02-16 09:12:51,12
69,96,2026-02-06,2026-02-06 23:15:51,2026-02-07 05:15:51,6
70,434,2026-03-05,2026-03-05 14:42:51,2026-03-06 02:42:51,12
71,422,2025-08-08,2025-08-08 16:40:51,2025-08-09 00:40:51,8
72,585,2025-08-11,2025-08-11 08:01:51,2025-08-11 14:01:51,6
73,327,2025-10-20,2025-10-20 09:11:51,2025-10-20 17:11:51,8
74,563,2026-05-11,2026-05-11 01:14:51,2026-05-11 05:14:51,4
75,687,2025-08-16,2025-08-16 22:23:51,2025-08-17 06:23:51,8
76,825,2025-11-12,2025-11-12 02:14:51,2025-11-12 12:14:51,10
77,999,2026-04-11,2026-04-11 13:47:51,2026-04-11 19:47:51,6
78,716,2025-12-30,2025-12-30 11:19:51,2025-12-30 15:19:51,4
79,847,2026-06-12,2026-06-12 06:51:51,2026-06-12 14:51:51,8
80,744,2026-01-12,2026-01-12 17:52:51,2026-01-12 21:52:51,4
81,305,2026-02-03,2026-02-03 12:25:51,2026-02-03 18:25:51,6
82,659,2026-04-24,2026-04-24 23:13:51,2026-04-25 05:13:51,6
83,694,2025-10-05,2025-10-05 18:02:51,2025-10-06 02:02:51,8
84,773,2025-12-30,2025-12-30 15:17:51,2025-12-30 21:17:51,6
85,718,2026-06-03,2026-06-03 16:21:51,2026-06-04 04:21:51,12
86,828,2025-11-19,2025-11-19 14:19:51,2025-11-20 02:19:51,12
87,993,2025-08-25,2025-08-25 00:12:51,2025-08-25 06:12:51,6
88,323,2026-03-07,2026-03-07 16:55:51,2026-03-08 02:55:51,10
89,370,2025-08-18,2025-08-18 18:22:51,2025-08-18 22:22:51,4
90,574,2026-05-01,2026-05-01 04:45:51,2026-05-01 14:45:51,10
91,38,2025-12-26,2025-12-26 23:07:51,2025-12-27 07:07:51,8
92,802,2026-02-25,2026-02-25 17:27:51,2026-02-25 21:27:51,4
93,683,2026-05-19,2026-05-19 15:30:51,2026-05-19 21:30:51,6
94,665,2026-05-29,2026-05-29 08:25:51,2026-05-29 20:25:51,12
95,313,2026-05-11,2026-05-11 13:25:51,2026-05-11 23:25:51,10
96,993,2025-10-12,2025-10-12 11:49:51,2025-10-12 23:49:51,12
97,407,2026-03-25,2026-03-25 23:33:51,2026-03-26 07:33:51,8
98,953,2026-05-10,2026-05-10 06:45:51,2026-05-10 14:45:51,8
99,577,2025-09-12,2025-09-12 14:20:51,2025-09-12 20:20:51,6
100,705,2025-08-12,2025-08-12 14:55:51,2025-08-13 02:55:51,12
101,453,2025-07-11,2025-07-11 20:56:51,2025-07-12 06:56:51,10
102,597,2026-01-03,2026-01-03 05:25:51,2026-01-03 09:25:51,4
103,921,2025-07-09,2025-07-09 08:04:51,2025-07-09 12:04:51,4
104,92,2026-02-20,2026-02-20 14:09:51,2026-02-20 18:09:51,4
105,906,2026-02-13,2026-02-13 18:09:51,2026-02-13 22:09:51,4
106,754,2025-12-04,2025-12-04 13:57:51,2025-12-05 01:57:51,12
107,509,2025-10-03,2025-10-03 10:23:51,2025-10-03 14:23:51,4
108,455,2026-05-01,2026-05-01 20:17:51,2026-05-02 04:17:51,8
109,280,2025-07-29,2025-07-29 15:57:51,2025-07-29 19:57:51,4
110,300,2026-06-14,2026-06-14 21:08:51,2026-06-15 09:08:51,12
111,992,2026-06-03,2026-06-03 10:07:51,2026-06-03 18:07:51,8
112,205,2025-09-16,2025-09-16 11:37:51,2025-09-16 17:37:51,6
113,121,2025-11-11,2025-11-11 12:44:51,2025-11-11 22:44:51,10
114,229,2025-09-14,2025-09-14 23:46:51,2025-09-15 11:46:51,12
115,965,2025-11-19,2025-11-19 21:37:51,2025-11-20 05:37:51,8
116,573,2026-01-17,2026-01-17 12:58:51,2026-01-17 18:58:51,6
117,31,2026-02-28,2026-02-28 17:34:51,2026-03-01 01:34:51,8
118,884,2026-02-24,2026-02-24 21:03:51,2026-02-25 07:03:51,10
119,840,2025-07-14,2025-07-14 01:43:51,2025-07-14 11:43:51,10
120,610,2026-02-24,2026-02-24 11:24:51,2026-02-24 15:24:51,4
121,109,2025-10-28,2025-10-28 18:52:51,2025-10-29 04:52:51,10
122,90,2025-09-03,2025-09-03 06:21:51,2025-09-03 16:21:51,10
123,833,2025-11-24,2025-11-24 23:57:51,2025-11-25 07:57:51,8
124,461,2026-06-24,2026-06-24 03:33:51,2026-06-24 07:33:51,4
125,42,2026-05-29,2026-05-29 10:04:51,2026-05-29 20:04:51,10
126,904,2026-04-08,2026-04-08 04:23:51,2026-04-08 10:23:51,6
127,9,2025-12-24,2025-12-24 10:30:51,2025-12-24 20:30:51,10
128,805,2026-02-24,2026-02-24 09:43:51,2026-02-24 17:43:51,8
129,606,2025-11-11,2025-11-11 19:38:51,2025-11-11 23:38:51,4
130,967,2026-02-11,2026-02-11 05:10:51,2026-02-11 13:10:51,8
131,408,2025-12-08,2025-12-08 20:55:51,2025-12-09 00:55:51,4
132,199,2026-05-04,2026-05-04 23:54:51,2026-05-05 07:54:51,8
133,717,2025-09-14,2025-09-14 03:13:51,2025-09-14 13:13:51,10
134,415,2025-08-09,2025-08-09 12:34:51,2025-08-10 00:34:51,12
135,271,2026-03-24,2026-03-24 16:21:51,2026-03-25 04:21:51,12
136,174,2025-10-14,2025-10-14 15:15:51,2025-10-14 21:15:51,6
137,979,2025-10-31,2025-10-31 19:11:51,2025-11-01 03:11:51,8
138,303,2025-11-13,2025-11-13 00:53:51,2025-11-13 08:53:51,8
139,818,2026-06-05,2026-06-05 22:52:51,2026-06-06 04:52:51,6
140,216,2026-01-21,2026-01-21 16:43:51,2026-01-21 22:43:51,6
141,86,2025-10-14,2025-10-14 14:00:51,2025-10-15 00:00:51,10
142,23,2025-08-28,2025-08-28 06:21:51,2025-08-28 14:21:51,8
143,31,2025-09-12,2025-09-12 04:09:51,2025-09-12 10:09:51,6
144,86,2025-09-30,2025-09-30 12:01:51,2025-09-30 18:01:51,6
145,835,2025-10-23,2025-10-23 17:56:51,2025-10-24 05:56:51,12
146,819,2026-06-26,2026-06-26 03:06:51,2026-06-26 15:06:51,12
147,494,2026-03-19,2026-03-19 10:29:51,2026-03-19 14:29:51,4
148,973,2026-06-16,2026-06-16 10:00:51,2026-06-16 16:00:51,6
149,778,2025-09-14,2025-09-14 03:16:51,2025-09-14 09:16:51,6
150,409,2025-11-13,2025-11-13 18:29:51,2025-11-14 06:29:51,12
151,460,2026-05-01,2026-05-01 15:14:51,2026-05-01 23:14:51,8
152,864,2025-12-24,2025-12-24 02:12:51,2025-12-24 12:12:51,10
153,638,2026-02-13,2026-02-13 16:29:51,2026-02-14 00:29:51,8
154,141,2026-06-07,2026-06-07 10:24:51,2026-06-07 14:24:51,4
155,687,2026-03-04,2026-03-04 18:48:51,2026-03-05 04:48:51,10
156,516,2026-02-19,2026-02-19 04:05:51,2026-02-19 12:05:51,8
157,628,2026-06-04,2026-06-04 11:49:51,2026-06-04 17:49:51,6
158,857,2025-09-17,2025-09-17 20:46:51,2025-09-18 06:46:51,10
159,577,2026-03-29,2026-03-29 19:18:51,2026-03-29 23:18:51,4
160,380,2025-08-27,2025-08-27 01:47:51,2025-08-27 11:47:51,10
161,978,2026-01-26,2026-01-26 18:18:51,2026-01-26 22:18:51,4
162,957,2026-04-13,2026-04-13 09:49:51,2026-04-13 17:49:51,8
163,135,2026-04-03,2026-04-03 21:24:51,2026-04-04 01:24:51,4
164,192,2025-09-05,2025-09-05 19:20:51,2025-09-06 07:20:51,12
165,472,2026-02-07,2026-02-07 22:14:51,2026-02-08 06:14:51,8
166,778,2025-12-23,2025-12-23 10:23:51,2025-12-23 20:23:51,10
167,223,2026-01-18,2026-01-18 13:58:51,2026-01-18 21:58:51,8
168,763,2026-06-27,2026-06-27 22:20:51,2026-06-28 08:20:51,10
169,672,2025-11-30,2025-11-30 09:41:51,2025-11-30 13:41:51,4
170,954,2025-11-30,2025-11-30 12:02:51,2025-12-01 00:02:51,12
171,910,2026-04-24,2026-04-24 12:36:51,2026-04-24 22:36:51,10
172,201,2026-05-16,2026-05-16 19:30:51,2026-05-16 23:30:51,4
173,807,2025-10-04,2025-10-04 16:50:51,2025-10-05 00:50:51,8
174,817,2026-05-01,2026-05-01 10:16:51,2026-05-01 14:16:51,4
175,822,2026-05-29,2026-05-29 10:38:51,2026-05-29 16:38:51,6
176,175,2025-09-05,2025-09-05 02:26:51,2025-09-05 08:26:51,6
177,312,2026-06-28,2026-06-28 02:13:51,2026-06-28 08:13:51,6
178,179,2025-07-12,2025-07-12 23:09:51,2025-07-13 05:09:51,6
179,46,2026-07-07,2026-07-07 13:47:51,2026-07-07 17:47:51,4
180,445,2025-08-23,2025-08-23 03:15:51,2025-08-23 13:15:51,10
181,252,2026-06-16,2026-06-16 17:07:51,2026-06-17 05:07:51,12
182,755,2025-12-21,2025-12-21 01:49:51,2025-12-21 13:49:51,12
183,262,2026-06-18,2026-06-18 22:16:51,2026-06-19 08:16:51,10
184,298,2025-07-20,2025-07-20 07:19:51,2025-07-20 11:19:51,4
185,86,2026-06-16,2026-06-16 04:27:51,2026-06-16 10:27:51,6
186,618,2026-01-07,2026-01-07 05:26:51,2026-01-07 13:26:51,8
187,639,2025-10-10,2025-10-10 08:22:51,2025-10-10 18:22:51,10
188,309,2025-10-24,2025-10-24 09:14:51,2025-10-24 21:14:51,12
189,268,2025-09-28,2025-09-28 07:54:51,2025-09-28 11:54:51,4
190,363,2025-11-18,2025-11-18 05:44:51,2025-11-18 15:44:51,10
191,2,2026-02-07,2026-02-07 00:19:51,2026-02-07 12:19:51,12
192,814,2025-08-10,2025-08-10 13:56:51,2025-08-10 21:56:51,8
193,963,2026-02-11,2026-02-11 20:28:51,2026-02-12 00:28:51,4
194,229,2025-10-27,2025-10-27 04:34:51,2025-10-27 08:34:51,4
195,143,2025-11-23,2025-11-23 08:31:51,2025-11-23 18:31:51,10
196,867,2025-08-17,2025-08-17 00:27:51,2025-08-17 12:27:51,12
197,574,2025-09-24,2025-09-24 19:32:51,2025-09-25 05:32:51,10
198,591,2026-04-12,2026-04-12 00:34:51,2026-04-12 10:34:51,10
199,841,2026-05-29,2026-05-29 00:13:51,2026-05-29 08:13:51,8
200,92,2026-01-16,2026-01-16 21:20:51,2026-01-17 07:20:51,10
201,531,2025-08-05,2025-08-05 02:04:51,2025-08-05 08:04:51,6
202,182,2026-04-17,2026-04-17 18:27:51,2026-04-18 00:27:51,6
203,141,2025-10-30,2025-10-30 09:20:51,2025-10-30 15:20:51,6
204,791,2025-10-07,2025-10-07 00:43:51,2025-10-07 10:43:51,10
205,717,2026-05-14,2026-05-14 22:20:51,2026-05-15 08:20:51,10
206,405,2026-03-07,2026-03-07 10:03:51,2026-03-07 22:03:51,12
207,554,2025-12-14,2025-12-14 16:47:51,2025-12-14 22:47:51,6
208,21,2026-04-11,2026-04-11 20:09:51,2026-04-12 06:09:51,10
209,114,2025-09-14,2025-09-14 01:41:51,2025-09-14 09:41:51,8
210,784,2026-05-30,2026-05-30 22:36:51,2026-05-31 08:36:51,10
211,416,2025-09-30,2025-09-30 05:10:51,2025-09-30 13:10:51,8
212,814,2025-12-17,2025-12-17 01:54:51,2025-12-17 13:54:51,12
213,634,2026-03-22,2026-03-22 04:06:51,2026-03-22 10:06:51,6
214,525,2026-01-05,2026-01-05 06:56:51,2026-01-05 12:56:51,6
215,433,2026-05-21,2026-05-21 16:28:51,2026-05-21 20:28:51,4
216,217,2025-07-30,2025-07-30 06:43:51,2025-07-30 18:43:51,12
217,535,2026-05-18,2026-05-18 03:31:51,2026-05-18 07:31:51,4
218,384,2026-04-10,2026-04-10 13:27:51,2026-04-10 23:27:51,10
219,92,2025-12-16,2025-12-16 23:19:51,2025-12-17 07:19:51,8
220,687,2026-06-03,2026-06-03 11:57:51,2026-06-03 21:57:51,10
221,435,2026-04-30,2026-04-30 13:56:51,2026-04-30 21:56:51,8
222,458,2026-02-17,2026-02-17 04:51:51,2026-02-17 08:51:51,4
223,637,2025-11-07,2025-11-07 08:34:51,2025-11-07 12:34:51,4
224,347,2025-12-26,2025-12-26 01:42:51,2025-12-26 05:42:51,4
225,760,2026-03-13,2026-03-13 21:50:51,2026-03-14 05:50:51,8
226,843,2026-05-06,2026-05-06 01:21:51,2026-05-06 05:21:51,4
227,272,2025-11-23,2025-11-23 12:54:51,2025-11-23 20:54:51,8
228,690,2025-11-11,2025-11-11 20:43:51,2025-11-12 06:43:51,10
229,25,2025-07-16,2025-07-16 22:05:51,2025-07-17 04:05:51,6
230,429,2025-09-24,2025-09-24 22:18:51,2025-09-25 08:18:51,10
231,687,2026-06-14,2026-06-14 20:27:51,2026-06-15 06:27:51,10
232,409,2026-01-27,2026-01-27 14:21:51,2026-01-28 00:21:51,10
233,666,2025-12-17,2025-12-17 09:21:51,2025-12-17 15:21:51,6
234,500,2026-06-06,2026-06-06 12:24:51,2026-06-06 20:24:51,8
235,753,2025-11-07,2025-11-07 21:18:51,2025-11-08 07:18:51,10
236,117,2025-11-21,2025-11-21 17:32:51,2025-11-21 23:32:51,6
237,424,2026-05-08,2026-05-08 19:16:51,2026-05-09 03:16:51,8
238,207,2025-10-15,2025-10-15 19:22:51,2025-10-16 07:22:51,12
239,325,2025-12-02,2025-12-02 03:52:51,2025-12-02 13:52:51,10
240,790,2026-04-15,2026-04-15 12:23:51,2026-04-15 18:23:51,6
241,980,2026-04-24,2026-04-24 19:19:51,2026-04-25 03:19:51,8
242,883,2025-08-23,2025-08-23 11:46:51,2025-08-23 19:46:51,8
243,560,2026-05-21,2026-05-21 00:18:51,2026-05-21 10:18:51,10
244,389,2026-01-16,2026-01-16 05:02:51,2026-01-16 15:02:51,10
245,8,2026-03-28,2026-03-28 13:15:51,2026-03-28 23:15:51,10
246,836,2026-02-04,2026-02-04 14:43:51,2026-02-04 22:43:51,8
247,636,2026-03-21,2026-03-21 05:43:51,2026-03-21 09:43:51,4
248,819,2026-03-29,2026-03-29 21:52:51,2026-03-30 01:52:51,4
249,864,2025-12-19,2025-12-19 17:23:51,2025-12-20 01:23:51,8
250,759,2026-04-20,2026-04-20 06:54:51,2026-04-20 18:54:51,12
251,271,2026-05-10,2026-05-10 22:29:51,2026-05-11 10:29:51,12
252,98,2026-05-24,2026-05-24 22:18:51,2026-05-25 08:18:51,10
253,99,2026-02-05,2026-02-05 11:22:51,2026-02-05 17:22:51,6
254,27,2026-01-26,2026-01-26 03:18:51,2026-01-26 11:18:51,8
255,232,2026-05-30,2026-05-30 06:25:51,2026-05-30 18:25:51,12
256,846,2025-11-16,2025-11-16 18:22:51,2025-11-17 06:22:51,12
257,125,2026-01-31,2026-01-31 03:40:51,2026-01-31 13:40:51,10
258,297,2026-07-09,2026-07-09 08:00:51,2026-07-09 14:00:51,6
259,253,2025-11-03,2025-11-03 16:22:51,2025-11-03 22:22:51,6
260,141,2026-06-19,2026-06-19 20:22:51,2026-06-20 04:22:51,8
261,475,2026-02-02,2026-02-02 04:16:51,2026-02-02 14:16:51,10
262,401,2026-05-06,2026-05-06 23:53:51,2026-05-07 11:53:51,12
263,642,2026-03-01,2026-03-01 19:05:51,2026-03-02 05:05:51,10
264,883,2026-06-03,2026-06-03 07:25:51,2026-06-03 11:25:51,4
265,229,2025-12-22,2025-12-22 19:04:51,2025-12-23 07:04:51,12
266,387,2026-01-07,2026-01-07 21:30:51,2026-01-08 01:30:51,4
267,36,2025-07-12,2025-07-12 23:59:51,2025-07-13 11:59:51,12
268,511,2025-08-09,2025-08-09 07:46:51,2025-08-09 15:46:51,8
269,16,2026-03-02,2026-03-02 15:04:51,2026-03-02 21:04:51,6
270,463,2025-11-07,2025-11-07 00:25:51,2025-11-07 04:25:51,4
271,508,2026-03-08,2026-03-08 09:09:51,2026-03-08 17:09:51,8
272,542,2025-12-07,2025-12-07 15:37:51,2025-12-08 01:37:51,10
273,836,2026-06-13,2026-06-13 19:19:51,2026-06-14 05:19:51,10
274,832,2026-03-04,2026-03-04 00:48:51,2026-03-04 06:48:51,6
275,275,2025-08-19,2025-08-19 10:26:51,2025-08-19 18:26:51,8
276,498,2026-05-11,2026-05-11 06:51:51,2026-05-11 14:51:51,8
277,809,2026-05-10,2026-05-10 18:07:51,2026-05-11 06:07:51,12
278,33,2025-12-31,2025-12-31 19:35:51,2026-01-01 03:35:51,8
279,301,2025-12-05,2025-12-05 16:48:51,2025-12-06 02:48:51,10
280,539,2025-12-27,2025-12-27 06:01:51,2025-12-27 10:01:51,4
281,545,2026-04-16,2026-04-16 04:54:51,2026-04-16 08:54:51,4
282,217,2026-01-25,2026-01-25 23:25:51,2026-01-26 05:25:51,6
283,615,2026-02-26,2026-02-26 21:37:51,2026-02-27 09:37:51,12
284,945,2026-02-19,2026-02-19 06:58:51,2026-02-19 16:58:51,10
285,332,2026-02-21,2026-02-21 04:09:51,2026-02-21 14:09:51,10
286,576,2026-01-23,2026-01-23 09:35:51,2026-01-23 21:35:51,12
287,929,2026-03-04,2026-03-04 07:38:51,2026-03-04 15:38:51,8
288,980,2026-04-02,2026-04-02 05:35:51,2026-04-02 15:35:51,10
289,401,2026-06-06,2026-06-06 11:05:51,2026-06-06 19:05:51,8
290,333,2026-01-03,2026-01-03 16:10:51,2026-01-04 02:10:51,10
291,945,2025-12-14,2025-12-14 11:25:51,2025-12-14 23:25:51,12
292,981,2026-03-28,2026-03-28 09:24:51,2026-03-28 17:24:51,8
293,178,2026-05-24,2026-05-24 17:46:51,2026-05-25 03:46:51,10
294,442,2026-03-25,2026-03-25 00:10:51,2026-03-25 08:10:51,8
295,986,2026-06-11,2026-06-11 10:47:51,2026-06-11 22:47:51,12
296,351,2025-10-20,2025-10-20 16:16:51,2025-10-20 20:16:51,4
297,226,2025-07-22,2025-07-22 16:23:51,2025-07-22 22:23:51,6
298,733,2026-06-10,2026-06-10 18:38:51,2026-06-11 02:38:51,8
299,346,2026-06-15,2026-06-15 07:15:51,2026-06-15 19:15:51,12
300,357,2025-08-01,2025-08-01 02:14:51,2025-08-01 12:14:51,10
301,126,2025-07-31,2025-07-31 20:06:51,2025-08-01 02:06:51,6
302,989,2025-10-05,2025-10-05 23:28:51,2025-10-06 07:28:51,8
303,783,2026-03-13,2026-03-13 03:22:51,2026-03-13 15:22:51,12
304,248,2026-05-05,2026-05-05 14:49:51,2026-05-06 00:49:51,10
305,386,2026-04-05,2026-04-05 20:56:51,2026-04-06 04:56:51,8
306,532,2026-04-06,2026-04-06 14:43:51,2026-04-07 02:43:51,12
307,213,2025-11-07,2025-11-07 00:18:51,2025-11-07 12:18:51,12
308,700,2025-08-02,2025-08-02 02:07:51,2025-08-02 06:07:51,4
309,337,2026-05-06,2026-05-06 12:08:51,2026-05-06 20:08:51,8
310,555,2025-10-23,2025-10-23 01:12:51,2025-10-23 11:12:51,10
311,643,2025-11-30,2025-11-30 12:34:51,2025-11-30 18:34:51,6
312,204,2026-03-05,2026-03-05 08:01:51,2026-03-05 12:01:51,4
313,900,2026-05-10,2026-05-10 12:24:51,2026-05-10 20:24:51,8
314,824,2026-03-14,2026-03-14 02:15:51,2026-03-14 06:15:51,4
315,613,2025-11-21,2025-11-21 02:07:51,2025-11-21 10:07:51,8
316,523,2026-04-12,2026-04-12 04:11:51,2026-04-12 14:11:51,10
317,269,2026-04-10,2026-04-10 01:14:51,2026-04-10 11:14:51,10
318,65,2025-12-13,2025-12-13 20:33:51,2025-12-14 06:33:51,10
319,273,2025-09-07,2025-09-07 14:53:51,2025-09-07 18:53:51,4
320,74,2026-01-28,2026-01-28 03:41:51,2026-01-28 07:41:51,4
321,588,2026-03-10,2026-03-10 01:05:51,2026-03-10 09:05:51,8
322,852,2026-04-13,2026-04-13 17:33:51,2026-04-13 23:33:51,6
323,479,2026-05-27,2026-05-27 02:04:51,2026-05-27 12:04:51,10
324,262,2025-10-28,2025-10-28 03:58:51,2025-10-28 15:58:51,12
325,551,2026-04-13,2026-04-13 06:00:51,2026-04-13 18:00:51,12
326,459,2026-04-05,2026-04-05 16:58:51,2026-04-05 22:58:51,6
327,926,2025-09-02,2025-09-02 15:39:51,2025-09-02 21:39:51,6
328,493,2025-09-10,2025-09-10 22:01:51,2025-09-11 02:01:51,4
329,111,2026-03-01,2026-03-01 12:13:51,2026-03-01 18:13:51,6
330,320,2025-07-27,2025-07-27 22:29:51,2025-07-28 02:29:51,4
331,104,2025-10-30,2025-10-30 04:15:51,2025-10-30 10:15:51,6
332,940,2026-03-15,2026-03-15 16:36:51,2026-03-16 04:36:51,12
333,405,2025-12-20,2025-12-20 08:21:51,2025-12-20 14:21:51,6
334,332,2025-11-11,2025-11-11 05:06:51,2025-11-11 11:06:51,6
335,641,2026-03-02,2026-03-02 03:50:51,2026-03-02 13:50:51,10
336,25,2025-07-22,2025-07-22 14:06:51,2025-07-23 00:06:51,10
337,389,2025-07-30,2025-07-30 20:39:51,2025-07-31 06:39:51,10
338,487,2026-02-20,2026-02-20 22:14:51,2026-02-21 04:14:51,6
339,306,2025-12-26,2025-12-26 13:40:51,2025-12-26 19:40:51,6
340,167,2026-02-13,2026-02-13 17:56:51,2026-02-14 01:56:51,8
341,202,2026-02-08,2026-02-08 01:38:51,2026-02-08 05:38:51,4
342,664,2025-11-26,2025-11-26 19:34:51,2025-11-26 23:34:51,4
343,246,2025-11-21,2025-11-21 10:28:51,2025-11-21 22:28:51,12
344,53,2025-11-07,2025-11-07 08:08:51,2025-11-07 12:08:51,4
345,441,2026-02-13,2026-02-13 22:11:51,2026-02-14 10:11:51,12
346,774,2025-09-11,2025-09-11 16:58:51,2025-09-12 02:58:51,10
347,149,2025-07-15,2025-07-15 06:50:51,2025-07-15 12:50:51,6
348,728,2026-05-05,2026-05-05 15:00:51,2026-05-05 21:00:51,6
349,230,2026-02-23,2026-02-23 16:52:51,2026-02-23 20:52:51,4
350,834,2026-06-20,2026-06-20 09:43:51,2026-06-20 15:43:51,6
351,245,2025-10-26,2025-10-26 20:49:51,2025-10-27 08:49:51,12
352,903,2025-12-10,2025-12-10 00:41:51,2025-12-10 04:41:51,4
353,62,2026-01-09,2026-01-09 04:41:51,2026-01-09 10:41:51,6
354,225,2025-10-16,2025-10-16 04:47:51,2025-10-16 10:47:51,6
355,209,2026-04-07,2026-04-07 09:08:51,2026-04-07 21:08:51,12
356,858,2026-05-11,2026-05-11 15:07:51,2026-05-11 19:07:51,4
357,598,2026-03-05,2026-03-05 23:31:51,2026-03-06 09:31:51,10
